Time: 17.9606 | Z_err: 0.0 | Theta_err: -0.3234
Time: 18.0106 | Z_err: 0.0 | Theta_err: -0.3234
Time: 18.0606 | Z_err: 0.0 | Theta_err: -0.3156
Time: 18.1106 | Z_err: 0.0 | Theta_err: -0.3156
Time: 18.1606 | Z_err: 0.0 | Theta_err: -0.3081
Time: 18.2106 | Z_err: 0.0 | Theta_err: -0.3081
Time: 18.2606 | Z_err: 0.0 | Theta_err: -0.3006
Time: 18.3106 | Z_err: 0.0 | Theta_err: -0.3006
Time: 18.3606 | Z_err: 0.0 | Theta_err: -0.2941
Time: 18.4106 | Z_err: 0.0 | Theta_err: -0.2941
Time: 18.4606 | Z_err: 0.0 | Theta_err: -0.2872
Time: 18.5106 | Z_err: 0.0 | Theta_err: -0.2872
Time: 18.5606 | Z_err: 0.0 | Theta_err: -0.2806
Time: 18.6106 | Z_err: 0.0 | Theta_err: -0.2806
Time: 18.6606 | Z_err: 0.1 | Theta_err: -0.2743
Time: 18.7106 | Z_err: 0.1 | Theta_err: -0.2743
Time: 18.7606 | Z_err: 0.1 | Theta_err: -0.2684
Time: 18.8106 | Z_err: 0.1 | Theta_err: -0.2684
Time: 18.8606 | Z_err: 0.1 | Theta_err: -0.2625
Time: 18.9106 | Z_err: 0.1 | Theta_err: -0.2625
Time: 18.9606 | Z_err: 0.1 | Theta_err: -0.2566
Time: 19.0106 | Z_err: 0.1 | Theta_err: -0.2566
Time: 19.0606 | Z_err: 0.1 | Theta_err: -0.2509
Time: 19.1106 | Z_err: 0.1 | Theta_err: -0.2509
Time: 19.1606 | Z_err: 0.1 | Theta_err: -0.2452
Time: 19.2106 | Z_err: 0.1 | Theta_err: -0.2452
Time: 19.2606 | Z_err: 0.1 | Theta_err: -0.2395
Time: 19.3106 | Z_err: 0.1 | Theta_err: -0.2395
Time: 19.3606 | Z_err: 0.1 | Theta_err: -0.2344
Time: 19.4106 | Z_err: 0.1 | Theta_err: -0.2344
Time: 19.4606 | Z_err: 0.1 | Theta_err: -0.2295
Time: 19.5106 | Z_err: 0.1 | Theta_err: -0.2295
Time: 19.5606 | Z_err: 0.0 | Theta_err: -0.2243
Time: 19.6106 | Z_err: 0.0 | Theta_err: -0.2243
Time: 19.6606 | Z_err: 0.0 | Theta_err: -0.2191
Time: 19.7106 | Z_err: 0.0 | Theta_err: -0.2191
Time: 19.7606 | Z_err: 0.0 | Theta_err: -0.214
Time: 19.8106 | Z_err: 0.0 | Theta_err: -0.214
Time: 19.8606 | Z_err: 0.0 | Theta_err: -0.2083
Time: 19.9106 | Z_err: 0.0 | Theta_err: -0.2083
Time: 19.9606 | Z_err: 0.0 | Theta_err: -0.203
Time: 20.0106 | Z_err: 0.0 | Theta_err: -0.203
Time: 20.0606 | Z_err: 0.0 | Theta_err: -0.1978
Time: 20.1107 | Z_err: 0.0 | Theta_err: -0.1978
Time: 20.1606 | Z_err: 0.0 | Theta_err: -0.1929
Time: 20.2106 | Z_err: 0.0 | Theta_err: -0.1929
Time: 20.2606 | Z_err: 0.0 | Theta_err: -0.1883
Time: 20.3106 | Z_err: 0.0 | Theta_err: -0.1883
Time: 20.3606 | Z_err: 0.0 | Theta_err: -0.1836
Time: 20.4106 | Z_err: 0.0 | Theta_err: -0.1836
Time: 20.4606 | Z_err: 0.0 | Theta_err: -0.1789
Time: 20.5106 | Z_err: 0.0 | Theta_err: -0.1789
Time: 20.5606 | Z_err: 0.0 | Theta_err: -0.1749
Time: 20.6106 | Z_err: 0.0 | Theta_err: -0.1749
Time: 20.6606 | Z_err: 0.0 | Theta_err: -0.1709
Time: 30.6616 | Z_err: -0.9 | Theta_err: 0.0
Time: 30.6618 | Z_err: -0.9 | Theta_err: 0.0
Time: 30.7119 | Z_err: -0.9 | Theta_err: 0.0
Time: 30.7618 | Z_err: -0.9 | Theta_err: 0.0
Time: 30.8119 | Z_err: -0.9 | Theta_err: 0.0
Time: 30.8619 | Z_err: -0.9 | Theta_err: 0.0
Time: 30.9119 | Z_err: -0.9 | Theta_err: 0.0
Time: 30.9619 | Z_err: -0.9 | Theta_err: 0.0
Time: 31.0119 | Z_err: -0.9 | Theta_err: 0.0
Time: 31.0619 | Z_err: -0.9 | Theta_err: 0.0
Time: 31.1118 | Z_err: -0.9 | Theta_err: 0.0
Time: 31.1619 | Z_err: -0.8 | Theta_err: 0.0
Time: 31.2119 | Z_err: -0.8 | Theta_err: 0.0
Time: 31.2619 | Z_err: -0.8 | Theta_err: 0.0
Time: 31.3119 | Z_err: -0.8 | Theta_err: 0.0
Time: 31.3619 | Z_err: -0.8 | Theta_err: 0.0
Time: 31.4119 | Z_err: -0.8 | Theta_err: 0.0
Time: 31.4619 | Z_err: -0.7 | Theta_err: 0.0
Time: 31.5119 | Z_err: -0.7 | Theta_err: 0.0
Time: 31.5619 | Z_err: -0.7 | Theta_err: 0.0
Time: 31.6119 | Z_err: -0.7 | Theta_err: 0.0
Time: 31.6619 | Z_err: -0.7 | Theta_err: 0.0
Time: 31.7119 | Z_err: -0.7 | Theta_err: 0.0
Time: 31.7619 | Z_err: -0.6 | Theta_err: 0.0
Time: 31.8118 | Z_err: -0.6 | Theta_err: 0.0
Time: 31.8619 | Z_err: -0.6 | Theta_err: 0.0
Time: 31.9119 | Z_err: -0.6 | Theta_err: 0.0
Time: 31.9619 | Z_err: -0.6 | Theta_err: 0.0
Time: 32.0118 | Z_err: -0.6 | Theta_err: 0.0
Time: 32.0619 | Z_err: -0.5 | Theta_err: 0.0
Time: 32.1119 | Z_err: -0.5 | Theta_err: 0.0
Time: 32.1619 | Z_err: -0.5 | Theta_err: 0.0
Time: 32.2118 | Z_err: -0.5 | Theta_err: 0.0
Time: 32.2619 | Z_err: -0.5 | Theta_err: 0.0
Time: 32.3119 | Z_err: -0.5 | Theta_err: 0.0
Time: 32.3619 | Z_err: -0.4 | Theta_err: 0.0
Time: 32.4119 | Z_err: -0.4 | Theta_err: 0.0
Time: 32.4618 | Z_err: -0.4 | Theta_err: 0.0
Time: 32.5119 | Z_err: -0.4 | Theta_err: 0.0
Time: 32.5619 | Z_err: -0.4 | Theta_err: 0.0
Time: 32.6118 | Z_err: -0.4 | Theta_err: 0.0
Time: 32.6619 | Z_err: -0.4 | Theta_err: 0.0
Time: 32.7119 | Z_err: -0.4 | Theta_err: 0.0
Time: 32.7619 | Z_err: -0.3 | Theta_err: 0.0
Time: 32.8119 | Z_err: -0.3 | Theta_err: 0.0
Time: 32.8619 | Z_err: -0.3 | Theta_err: 0.0
Time: 32.9119 | Z_err: -0.3 | Theta_err: 0.0
Time: 32.9619 | Z_err: -0.3 | Theta_err: 0.0
Time: 33.0119 | Z_err: -0.3 | Theta_err: 0.0
Time: 33.0619 | Z_err: -0.3 | Theta_err: 0.0
Time: 33.1119 | Z_err: -0.3 | Theta_err: 0.0
Time: 33.1619 | Z_err: -0.3 | Theta_err: 0.0
Time: 33.2119 | Z_err: -0.3 | Theta_err: 0.0
Time: 33.2619 | Z_err: -0.2 | Theta_err: 0.0
Time: 33.3119 | Z_err: -0.2 | Theta_err: 0.0
Time: 33.3619 | Z_err: -0.2 | Theta_err: 0.0
Time: 33.4119 | Z_err: -0.2 | Theta_err: 0.0
Time: 33.4619 | Z_err: -0.2 | Theta_err: 0.0
Time: 33.5119 | Z_err: -0.2 | Theta_err: 0.0
Time: 33.5619 | Z_err: -0.2 | Theta_err: 0.0
Time: 33.6119 | Z_err: -0.2 | Theta_err: 0.0
Time: 33.6619 | Z_err: -0.2 | Theta_err: 0.0
Time: 33.7119 | Z_err: -0.2 | Theta_err: 0.0
Time: 33.7619 | Z_err: -0.2 | Theta_err: 0.0
Time: 33.8119 | Z_err: -0.2 | Theta_err: 0.0
Time: 33.8619 | Z_err: -0.2 | Theta_err: 0.0
Time: 33.9119 | Z_err: -0.2 | Theta_err: 0.0
Time: 33.9619 | Z_err: -0.2 | Theta_err: 0.0
Time: 34.0118 | Z_err: -0.2 | Theta_err: 0.0
Time: 34.0619 | Z_err: -0.2 | Theta_err: 0.0
Time: 34.1119 | Z_err: -0.2 | Theta_err: 0.0
Time: 34.1619 | Z_err: -0.1 | Theta_err: 0.0
