Time: 4.7002 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 4.7502 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 4.8002 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 4.8502 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 4.9002 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 4.9501 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.0002 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.0502 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.1002 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.1502 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.2002 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.2502 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.3002 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.3502 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.4002 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.4502 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.5002 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.5502 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.6002 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.6502 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.7002 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
Time: 5.7501 | X_err: 0 | Y_err: 0 | Z_err: 0.1 | Theta_err: 0.0
